Bill,Session,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,File Date,Final Date,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4,Sponsor 5,Sponsor 6,Sponsor 7,Sponsor 8,Sponsor 9,Sponsor 10,Sponsor 11,Sponsor 12,Sponsor 13,Sponsor 14,Sponsor 15,Sponsor 16,Sponsor 17,Sponsor 18,Sponsor 19,Sponsor 20,Sponsor 21,Sponsor 22,Sponsor 23,Sponsor 24,Sponsor 25,Sponsor 26,Sponsor 27,Sponsor 28,Sponsor 29,Sponsor 30,Sponsor 31,Sponsor 32,Sponsor 33,Sponsor 34,Sponsor 35,Sponsor 36,Sponsor 37,Sponsor 38,Sponsor 39,Sponsor 40,Sponsor 41,Sponsor 42,Sponsor 43,Sponsor 44,Sponsor 45,Sponsor 46,Sponsor 47,Sponsor 48,Sponsor 49,Sponsor 50,Sponsor 51,Sponsor 52,Sponsor 53,Sponsor 54,Sponsor 55
SB998 ,2020,0,S-CL,1,0,1,H-LC,1,1,0,1,1,1,PiL,20200116,20200422,Louise Lucas,Joe Morrissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ527  ,2021,1,H-R,1,0,1,S-R,1,1,1,,,1,JRP,20210107,20210218,David Bulova,Paul Krizek,Kaye Kory,Betsy Carr,Dan Helmer,Patrick Hope,Mark Keam,Mark Levine,Kathy Tran,Lee Ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ538 ,2021,1,H-R,1,0,1,S-R,1,1,1,,,1,JRP,20210110,20210224,Lashrecse Aird,Hala Ayala,Lamont Bagby,Betsy Carr,Joshua Cole,Eileen Filler-Corn,Elizabeth Guzman,Dan Helmer,Clint Jenkins,Mark Keam,Mark Levine,Delores McQuinn,Cia Price,Sam Rasoul,Don Scott,Marcus Simon,Kathy Tran,Roslyn Tyler,Angelia Williams Graves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ542,2021,1,H-R; H-A,1,0,1,S-R; S-FA,1,1,1,,,1,JRP,20210111,20210227,Delores McQuinn,Betsy Carr,Dawn Adams,Lashrecse Aird,Hala Ayala,Lamont Bagby,Lee Carter,Cliff Hayes,Dan Helmer,Patrick Hope,Sally Hudson,Chris Hurst,Clint Jenkins,Kaye Kory,Mark Levine,Alfonso Lopez,Candi King,Kathleen Murphy,Ken Plum,Cia Price,Sam Rasoul,David Reid,Ibraheem Samirah,Don Scott,Marcus Simon,Shelly Simonds,Suhas Subramanyam,Kathy Tran,Rodney Willett,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ556 ,2021,1,H-PE,0,0,,,,,,,,0,DiC,20210112,20210205,Alfonso Lopez,Kaye Kory,Shelly Simonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ557,2021,1,H-PE,0,1,,,,,,,,0,Inc,20210112,20210203,Alfonso Lopez,Kaye Kory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ559,2021,1,H-R,0,0,,,,,,,,0,DiC,20210112,20210205,Elizabeth Guzman,Lee Carter,Joshua Cole,Dan Helmer,Patrick Hope,Mark Keam,Kaye Kory,Mark Levine,Alfonso Lopez,Kathleen Murphy,Ken Plum,Ibraheem Samirah,Marcus Simon,Shelly Simonds,Suhas Subramanyam,Kathy Tran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1811,2021,1,H-GL,1,0,1,S-GL,1,1,1,1,0,1,PiL,20210106,20210331,Dan Helmer,David Bulova,David Reid,Marcus Simon,Dawn Adams,Patrick Hope,Alfonso Lopez,Martha Mugler,Kathleen Murphy,Sam Rasoul,Ibraheem Samirah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1819 ,2021,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,20210106,20210330,Joshua Cole,Betsy Carr,Mark Cole,Elizabeth Guzman,Alfonso Lopez,Bobby Orrock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1834,2021,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,20210106,20210311,Suhas Subramanyam,Chris Hurst,Alfonso Lopez,Shelly Simonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
